seed,method,minU,gap,pidist,pirms,spear,topk,ndcg,mse,auc,time
33,cycSGLD,347.9162998339977,5.697206233239626,3.5575386275325847,0.11249924927032369,0.7735655095655095,0.8546099290780141,0.8699983604240465,1.9491814746208016,0.9087448760491901,0.29651784896850586
33,SGHMC,360.7977552843788,18.578661683620737,5.215149429873407,0.16491750536528535,0.4391016911016911,0.7109929078014184,0.7301123073680622,2.1835375434063726,0.7353113410111263,0.2989809513092041
33,AWSGLD,343.23489801485164,1.0158044140935658,0.3078285463035536,0.009734393351378351,0.8133077013077012,0.8670212765957447,0.8852145789538174,2.0962704574223974,0.9300011386557356,0.7059803009033203
34,SGLD,634.7654026783341,292.9249939385547,7.9713209252662045,0.2520753008400205,0.07258401658401659,0.5722222222222222,0.5858149013170113,2.77096155852609,0.5559661835748793,0.29604268074035645
34,qSGLD,343.52920334648246,1.688794606703027,0.3967207340103009,0.012545411144863763,0.8147900267900269,0.8240740740740741,0.8547005858015342,2.140825221553839,0.9090861513687601,0.516493558883667
34,cycSGLD,347.29681921793394,5.45641047815451,3.4992697101459878,0.11065662431298537,0.8024795264795265,0.8277777777777777,0.8539052879455362,1.8010699777211665,0.9029669887278584,0.29700517654418945
34,SGHMC,359.6675947079371,17.827185968157664,5.091386778934636,0.1610037867030164,0.5574247134247134,0.75,0.7764100036252156,2.0067031717905675,0.786892109500805,0.29813265800476074
34,AWSGLD,342.84358244977494,1.003173709995508,0.304686592061715,0.009635036034295977,0.833937317937318,0.8462962962962963,0.8730378361344036,2.1417211799258338,0.920938003220612,0.690791130065918
35,SGLD,635.1590119044914,292.3212738445265,7.989737538390605,0.25265768528261306,0.06546460146460147,0.5925925925925926,0.5899676545449034,2.929254813944346,0.53137741282468,0.2940847873687744
35,qSGLD,344.5288160300789,1.6910779701139518,0.3999117111522705,0.012646318702165349,0.8558889278889279,0.8747795414462081,0.8980619351142473,1.969007633756067,0.9533707247333113,0.5282442569732666
35,cycSGLD,348.5475315315167,5.709793471551791,3.549474634634674,0.11224424342439551,0.8342625422625423,0.8800705467372134,0.8991041846630822,1.7676696972689734,0.9419007702302544,0.29364013671875
